Transmission,BodyType,Cyl,Litre,Kms,Economy,Make,Model,Badge,Colour,Year,Price,Fuel,Location,Cat,SellerId
Automatic,SUV,4,2.5,99616,9.6,Subaru,Forester,X,Steel Silver,2009,16950,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-1809725
Automatic,SUV,4,2.5,163000,9.7,Subaru,Forester,XS,Premium Silver,2005,7990,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-824064
Automatic,SUV,4,2.5,172000,11.1,Subaru,Forester,XT Luxury,Dark Grey,2008,13990,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-2287998
Automatic,SUV,4,2.5,106000,9.6,Subaru,Forester,XS,Satin White Pearl,2010,19400,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2543102
Automatic,SUV,4,2.5,82000,9.3,Subaru,Forester,XS,Dark Grey,2011,19900,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2031470
Automatic,SUV,4,2,0,6.4,Subaru,Forester,2.0D-S,White,2015,42990,Diesel,QUEENSLAND,BNCIS,AGC-SELLER-14995
Manual,SUV,4,2.5,240000,9.6,Subaru,Forester,X Luxury,Premium Silver,2006,7800,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2274614
Manual,SUV,4,2.5,122220,9.6,Subaru,Forester,X,White,2008,14990,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-8007
Manual,SUV,4,2.5,85000,9.6,Subaru,Forester,X,Pure White,2007,12000,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-1206636
Manual,SUV,4,2.5,234000,11.2,Subaru,Forester,XT,Champagne Gold,2004,13500,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-502864
Automatic,SUV,4,2.5,36009,8.1,Subaru,Forester,2.5i-L,White,2013,29990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-52581
Automatic,SUV,4,2.5,120589,9.7,Subaru,Forester,XS,Dark Grey,2007,11900,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3269301
Automatic,SUV,4,2.5,185957,9.5,Subaru,Forester,XS,Silver,2002,5999,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-29910
Automatic,SUV,4,2.5,247500,9.6,Subaru,Forester,X,Silver,2008,9000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3316942
Manual,SUV,4,2.5,243250,9.5,Subaru,Forester,X,Pure White,2003,5450,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-2364177
Automatic,SUV,4,2.5,161992,9.5,Subaru,Forester,XS,Green,2003,7000,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3272102
Automatic,SUV,4,2.5,55477,8.1,Subaru,Forester,2.5i-S,Silver,2013,34888,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-216
Automatic,SUV,4,2.5,76357,8.1,Subaru,Forester,2.5i,White,2014,25800,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-28415
Manual,SUV,4,2.5,40301,9.3,Subaru,Forester,X Luxury Edition,Black,2012,22990,Petrol - Unleaded ULP,TASMANIA,Used,AGC-SELLER-2128
Automatic,SUV,4,2.5,126456,10.5,Subaru,Forester,XT Premium,Grey,2009,20990,Petrol - Premium ULP,QUEENSLAND,Used,AGC-SELLER-17602
Manual,SUV,4,2.5,136499,11.4,Subaru,Forester,XT Luxury,Silver,2007,16999,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-13221
Automatic,SUV,4,2.5,95000,9.6,Subaru,Forester,XS,Newport Blue,2009,16900,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3149435
Automatic,SUV,4,2.5,157000,9.6,Subaru,Forester,X,Dark Grey,2008,15900,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2221228
Automatic,SUV,4,2.5,17000,8.1,Subaru,Forester,2.5i-L,Blue,2015,34000,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Private,SSE-SELLER-3319928
Manual,SUV,4,2.5,176000,9.3,Subaru,Forester,XS,Satin White Pearl,2008,13495,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3290572
Manual,SUV,4,2.5,168000,9.5,Subaru,Forester,XS,Pure White,2002,7800,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3316943
Automatic,SUV,4,2,224521,,Subaru,Forester,Limited,Silver,2001,5850,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-16308
Manual,SUV,4,2.5,186490,9.6,Subaru,Forester,X,Pure White,2008,12000,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2213778
